1,20742.6666667,25027.5666667,29223.8,36227.8,18287.0333333,34038.5,32209.7037555,18970.1383103,37049.0333333,37424.6666667
2,41240.0,27479.5081967,42537.6666667,34026.8333333,43060.9313023,26386.0537982,39039.1,43443.1,38358.7735377,37040.1653278
3,40052.8,52186.0333333,44606.7333333,40897.3,46854.9333333,39907.0333333,46540.6333333,48327.5666667,38939.7333333,39863.7333333
4,43356.8666667,43512.7666667,48571.8666667,43125.5786073,43897.8034066,41495.0666667,44219.5,47285.7238092,41304.5,42964.9333333
5,52938.7666667,48077.4,44825.1641065,46333.1,49170.1333333,48968.2375683,42323.7333333,42669.1333333,44980.3666667,43008.7663745
6,43074.8666667,45744.4,48885.3010763,43271.6666667,49355.8,43055.5,44602.2333333,44697.3,45468.8666667,51270.9576347
8,46358.3666667,44087.1333333,49467.4333333,45214.4,44535.4333333,43172.0666667,48110.7333333,47773.5333333,47019.5333333,40057.5
10,44322.7666667,53029.3666667,45511.0666667,43460.7666667,44980.4,49030.2333333,45388.3333333,50522.4666667,44745.3666667,44153.3333333
12,41910.3,43579.6333333,43924.9,45147.9666667,47954.9333333,44223.4666667,45923.5333333,46168.0333333,53020.4333333,48713.3666667
14,52741.2666667,45965.0,49840.0333333,42671.3666667,46578.1666667,44246.3333333,47620.3,54334.0666667,44080.6666667,41618.8
16,46476.2,47604.8,42780.8333333,42741.6666667,49518.7,44272.2333333,48020.6666667,44475.4333333,46237.7666667,48831.5333333
18,40843.7333333,50564.3,48080.9,42132.5333333,50094.9,44222.8925702,49624.8333333,42271.0666667,46346.6666667,43476.8
20,48930.2666667,48899.4,42295.9,47243.3333333,47104.3,47714.5333333,46630.4666667,42206.3666667,43905.5666667,44799.1
