1,34594.4,21981.40062,36731.4,18575.3,35299.1,20958.4333333,21604.4666667,24936.8666667,25144.0666667,31088.4
2,29813.4333333,41599.3333333,44633.7333333,44318.5044487,34912.6029132,33417.1333333,35110.5666667,39995.7333333,35193.5666667,43532.3
3,34792.9333333,31839.7333333,28635.0333333,40287.0,28299.3507574,28489.1894593,30077.7666667,31308.9,34308.3333333,33157.9333333
4,31253.0582314,46070.5,32019.6333333,31332.1333333,39265.5666667,33917.6,42896.0333333,31524.8,36419.019366,31540.7
5,44509.0,31822.7666667,35387.3666667,44287.5666667,33716.1761275,35780.9666667,43538.9333333,37131.7333333,35006.7333333,30858.7235461
6,32584.7333333,31257.3247558,34061.1666667,33435.7666667,41253.8333333,32448.8,35424.8,35925.2024933,35105.6666667,31161.1612946
8,34818.4666667,39826.2333333,36958.1666667,34890.4703177,36672.0666667,34059.1980267,35448.6333333,37371.0666667,33069.2,32828.6666667
10,34981.8006066,34465.9,39895.5,33984.4,33524.3825206,32688.5437152,35648.9666667,33562.9,36960.7333333,33686.1333333
12,35201.2532498,36483.0333333,33503.1333333,38212.5,34191.9666667,37895.9666667,36469.0333333,34496.7,34378.9333333,37275.9333333
14,35601.0666667,35054.0333333,36604.6666667,34583.7,33214.4,34752.2666667,34519.5333333,39815.9,35233.5666667,37247.3666667
16,33934.8021733,33454.1,34905.6364788,38023.9333333,34389.7,34075.9,34564.4,34797.5,34097.7333333,34060.0333333
18,37250.9333333,36056.531449,34917.9333333,36781.1666667,34313.9333333,34348.9333333,34982.2333333,37192.8,33527.3333333,34127.6
20,34075.9666667,33402.3333333,34074.1666667,35553.6,36727.9424019,34019.0333333,35885.6076262,34824.7333333,36601.0,34618.3460551
